LAST_SCRAPE_DATE: 01/23/2024
YEAR,MAKE,MODEL,SALE_PRICE,SALE_DATE,LISTING_TYPE
1988,PORSCHE,911 TURBO CABRIOLET M505 SLANT NOSE,270000.0,2023-12-21,SOLD 
2018,PORSCHE,911 GT3 CUP PCA EDITION,200000.0,2023-12-21,SOLD 
1969,PORSCHE,911E COUPE,142000.0,2023-12-21,SOLD 
1973,PORSCHE,911 CARRERA RS 2.7L ENGINE,40750.0,2023-12-21,SOLD 
2013,PORSCHE,911 CARRERA 4S COUPE,61000.0,2023-12-21,SOLD 
1997,PORSCHE,ONE-OWNER  911 CARRERA 4S 6-SPEED,132000.0,2023-12-21,SOLD 
2001,PORSCHE,ORIGINAL-OWNER  911 TURBO COUPE 6-SPEED,75000.0,2023-12-21,SOLD 
1979,PORSCHE,31-YEARS-FAMILY-OWNED  911SC,72000.0,2023-12-21,SOLD 
1994,PORSCHE,21-YEARS-OWNED  911 TURBO 3.6,320000.0,2023-12-21,SOLD 
2019,PORSCHE,911 GT3 RS,231000.0,2023-12-20,SOLD 
0000,PORSCHE,BUCKET SEATS FOR 911,1311.0,2023-12-20,SOLD 
1987,PORSCHE,25-YEARS-OWNED  911 CARRERA TARGA G50,64911.0,2023-12-20,BID 
1979,PORSCHE,36-YEARS-OWNED  930 TURBO,136000.0,2023-12-20,SOLD 
1998,PORSCHE,911 CARRERA S COUPE,81000.0,2023-12-20,SOLD 
2015,PORSCHE,911 TARGA 4S 7-SPEED,123000.0,2023-12-20,SOLD 
2008,PORSCHE,911 TURBO COUPE,57500.0,2023-12-20,SOLD 
2004,PORSCHE,911 GT3,140000.0,2023-12-20,BID 
1976,PORSCHE,CARRERA 3.0 COUPE,195000.0,2023-12-20,SOLD 
1981,PORSCHE,2.7L-POWERED  911SC TARGA,30000.0,2023-12-20,SOLD 
1996,PORSCHE,SILVER METALLIC  911 TURBO,223000.0,2023-12-20,SOLD 
2023,PORSCHE,911 TURBO S COUPE,184000.0,2023-12-19,BID 
2007,PORSCHE,911 TARGA 4S 6-SPEED,79500.0,2023-12-19,SOLD 
1995,PORSCHE,911 CARRERA CABRIOLET 6-SPEED,72000.0,2023-12-19,SOLD 
1985,PORSCHE,911 CARRERA COUPE,71000.0,2023-12-19,SOLD 
0000,PORSCHE,15×6″ FUCHS WHEELS FOR,3500.0,2023-12-19,SOLD 
